nome_unidade;id_unidade;cep;logradouro;bairro;curso;resultado;resultado_motivo;distancia_media;distancia_minima;distancia_maxima
Ivaneide Nogueira, EMEB Profa.;74;9830100;RUA RIO ACIMA;RIO GRANDE;INF;DEFERIDO;ÁREA RURAL;3525;400;7400
Ivaneide Nogueira, EMEB Profa.;74;9830255;RUA RIO ACIMA;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;7133,333333;6600;7400
Ivaneide Nogueira, EMEB Profa.;74;9830255;RUA RIO ACIMA;RIO GRANDE;INF;DEFERIDO;ÁREA RURAL;7133,333333;6600;7400
Ivaneide Nogueira, EMEB Profa.;74;9835100;ESTRADA AGUA LIMPA;CURUCUTU;INF;DEFERIDO;ÁREA RURAL;2297,058824;950;3900
Ivaneide Nogueira, EMEB Profa.;74;9835125;ESTRADA DO RIO ACIMA;CURUCUTU;INF;DEFERIDO;ÁREA RURAL;1066,666667;850;1500
Ivaneide Nogueira, EMEB Profa.;74;9835495;ESTRADA DO RIO ACIMA;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;4968,571429;200;7400
Ivaneide Nogueira, EMEB Profa.;74;9835499;ESTRADA DO RIO ACIMA;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;3728,571429;1000;7400
Ivaneide Nogueira, EMEB Profa.;74;9835530;ESTRADA ALICE PEREIRA DE SOUZA;SANTA CRUZ;INF;DEFERIDO;ÁREA RURAL;1666,666667;1600;1700
Ivaneide Nogueira, EMEB Profa.;74;9835565;RUA MARINALVA ALMEIDA DOS SANTOS;SANTA CRUZ;INF;DEFERIDO;ÁREA RURAL;558,3333333;200;750
Ivaneide Nogueira, EMEB Profa.;74;9835577;ESTRADA DO RIO ACIMA;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;4200;2400;5100
Ivaneide Nogueira, EMEB Profa.;74;9835577;ESTRADA DO RIO ACIMA;SANTA CRUZ;INF;DEFERIDO;ÁREA RURAL;4200;2400;5100
Ivaneide Nogueira, EMEB Profa.;74;9835600;ESTRADA DO RIO ACIMA;CURUCUTU;INF;DEFERIDO;ÁREA RURAL;725;300;1800
Ivaneide Nogueira, EMEB Profa.;74;9835700;ESTRADA DO MATARAZZO;CURUCUTU;INF;DEFERIDO;ÁREA RURAL;1086,666667;500;3100
Ivaneide Nogueira, EMEB Profa.;74;9836100;ESTRADA TAQUACETUBA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;4100;2400;6800
Ivaneide Nogueira, EMEB Profa.;74;9836150;RUA AMARANTO;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;2833,333333;2700;3000
Ivaneide Nogueira, EMEB Profa.;74;9836180;RUA TARUMA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;2250;1200;3300
Ivaneide Nogueira, EMEB Profa.;74;9836250;ESTRADA TAQUACETUBA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;4775;2000;6800
Ivaneide Nogueira, EMEB Profa.;74;9836340;ESTRADA SIBIPIRUNA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;5150;4400;6800
Ivaneide Nogueira, EMEB Profa.;74;9836450;ESTRADA ALFREDO BONINI;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;5450;5000;5900
Ivaneide Nogueira, EMEB Profa.;74;9836455;ESTRADA ALFREDO BONINI;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;3000;3000;3000
